GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 6.b
Created: Fri Sep 29 17:58:03 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Sc45,450.71,449.98,42.54,41.79,33.00,5.77,4.67,5.23,4.85,4.54,5.56,68.76,69.66,5.34,4.95,449.24,460.36,42.13,41.85,33.00,5.27,4.29
Ti47,458.47,459.90,44.75,43.30,14100.00,6.28,37.06,156.55,127.43,106.75,234.29,11093.92,9094.17,124.54,95.73,458.06,461.21,41.43,41.45,14100.00,6.53,37.58
Ti49,462.99,458.84,41.97,40.50,14100.00,5.99,37.90,153.28,131.26,100.78,242.86,11073.92,8994.95,119.75,95.57,455.31,457.74,38.60,41.72,14100.00,5.94,36.57
V51,448.36,456.01,38.31,38.07,425.00,3.29,6.27,3.33,4.40,4.30,4.81,102.62,89.94,3.74,4.13,464.52,460.31,38.81,37.68,425.00,3.35,6.24
Cr53,476.32,477.86,42.46,41.04,17.00,162.57,310.62,82.76,273.00,264.08,83.07,172.53,89.32,247.79,274.56,474.41,482.68,41.38,39.69,17.00,160.87,303.78
Mn55,439.92,442.69,38.41,38.03,1550.00,1151.48,989.95,3416.25,2159.26,2500.90,3340.26,704.24,744.16,1862.81,1976.00,440.11,445.80,39.29,38.36,1550.00,1136.31,991.38
Co59,399.29,409.96,33.98,33.82,38.00,154.23,154.67,227.22,203.08,208.30,218.71,31.95,30.17,188.29,209.14,419.84,424.33,35.56,35.50,38.00,159.79,160.26
Ni60,495.26,490.41,41.50,39.93,13.00,3525.67,3663.10,1194.75,1834.13,1807.37,894.59,86.78,78.39,1644.85,1908.96,502.89,516.39,45.10,42.29,13.00,3601.68,3730.88
Ni62,398.20,393.88,32.57,33.59,13.00,2767.03,2819.65,935.53,1368.28,1353.53,675.72,64.50,59.73,1162.36,1321.92,362.24,368.98,29.95,29.99,13.00,2465.69,2527.33
Cu63,511.08,507.94,43.88,41.41,21.00,1.148,5.22,0.838,3.71,18.88,1.377,2.318,1.811,2.37,5.64,520.37,527.59,43.66,42.40,21.00,1.113,4.98
